City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kerikeri,-35.2268,173.9474,9.62,80,51,2.84,NZ,1690389105
1,labytnangi,66.6572,66.4183,16.88,95,100,3.97,RU,1690388769
2,bandarbeyla,9.4942,50.8122,24.11,82,9,14.73,SO,1690388739
3,qaqortoq,60.7167,-46.0333,6.82,84,100,2.75,GL,1690388593
4,mckenzie,47.7084,-103.4477,27.79,30,0,0.0,US,1690388910
5,sinabang,2.4803,96.3801,27.0,81,77,1.91,ID,1690388565
6,blackmans bay,-43.0167,147.3167,10.29,85,100,2.5,AU,1690388320
7,acarau,-2.8856,-40.12,31.65,49,6,8.35,BR,1690388466
8,thompson,55.7435,-97.8558,13.09,76,75,3.6,CA,1690388551
9,longyearbyen,78.2186,15.6401,11.91,58,20,5.66,SJ,1690388329
10,port-aux-francais,-49.35,70.2167,4.98,85,98,19.23,TF,1690388520
11,vila velha,-20.3297,-40.2925,24.97,74,20,4.63,BR,1690389107
12,sirte,31.2089,16.5887,34.77,38,0,4.74,LY,1690389107
13,margaret river,-33.95,115.0667,12.42,82,100,10.04,AU,1690388440
14,yellowknife,62.456,-114.3525,22.29,43,75,7.72,CA,1690388548
15,ar ruseris,11.8659,34.3869,25.56,77,88,6.55,SD,1690389108
16,dunedin,-45.8742,170.5036,7.67,63,65,4.47,NZ,1690388292
17,ilulissat,69.2167,-51.1,7.32,59,0,2.67,GL,1690388330
18,uray,60.1247,64.7758,18.87,67,84,2.43,RU,1690389108
19,wailua homesteads,22.0669,-159.378,24.44,90,100,6.69,US,1690388537
20,bredasdorp,-34.5322,20.0403,11.35,80,97,2.05,ZA,1690388523
21,kodinsk,58.6881,99.1844,17.35,80,56,1.51,RU,1690388903
22,grytviken,-54.2811,-36.5092,-1.53,86,85,5.28,GS,1690388321
23,puerto natales,-51.7236,-72.4875,1.64,84,47,1.68,CL,1690388333
24,adamstown,-25.066,-130.1015,19.96,72,58,9.99,PN,1690388301
25,tura,25.5198,90.2201,24.38,94,100,2.48,IN,1690388363
26,talnakh,69.4865,88.3972,21.23,58,62,1.31,RU,1690388316
27,edinburgh of the seven seas,-37.0676,-12.3116,10.17,53,85,8.24,SH,1690388367
28,jamestown,42.097,-79.2353,28.34,54,89,2.68,US,1690388479
29,fort bragg,35.139,-79.006,34.95,55,20,0.45,US,1690388738
30,la serena,-29.9078,-71.2542,14.73,82,75,3.6,CL,1690388935
31,punta arenas,-53.15,-70.9167,2.32,69,44,6.46,CL,1690388922
32,port douglas,-16.4833,145.4667,21.99,81,89,8.22,AU,1690389111
33,kailua-kona,19.6406,-155.9956,25.98,88,40,2.06,US,1690388768
34,albany,42.6001,-73.9662,28.43,75,4,0.89,US,1690388521
35,whitehorse,60.7161,-135.0538,14.89,94,75,1.54,CA,1690388881
36,rawson,-43.3002,-65.1023,6.31,51,66,5.94,AR,1690389052
37,afaahiti,-17.75,-149.2833,23.93,89,72,5.05,PF,1690388516
38,tondano,1.3038,124.9112,23.05,97,93,1.76,ID,1690389112
39,papatowai,-46.5619,169.4708,4.47,95,100,10.42,NZ,1690388327
40,waitangi,-43.9535,-176.5597,9.43,68,85,11.33,NZ,1690388548
41,cedartown,34.0537,-85.255,33.69,37,0,1.17,US,1690389112
42,iskateley,67.6803,53.1512,19.49,77,100,1.72,RU,1690388344
43,chibougamau,49.9168,-74.3659,23.79,50,20,6.27,CA,1690388537
44,west island,-12.1568,96.8225,24.99,83,100,11.83,CC,1690388554
45,belmonte,-15.8631,-38.8828,25.22,65,80,3.58,BR,1690388554
46,la passe,45.5549,-0.8967,24.13,64,34,5.82,FR,1690388574
47,yuzhno-kurilsk,44.0306,145.8556,17.47,97,42,1.63,RU,1690388824
48,vilyuchinsk,52.9306,158.4028,13.15,85,78,1.07,RU,1690388425
49,utrik,11.2278,169.8474,28.11,81,100,8.21,MH,1690388615
50,padang,-0.9492,100.3543,25.03,87,72,1.52,ID,1690389114
51,stovring,56.8854,9.8384,12.88,89,100,8.33,DK,1690389114
52,tiksi,71.6872,128.8694,3.04,92,47,1.49,RU,1690388528
53,udachny,66.4167,112.4,16.92,77,94,2.4,RU,1690388301
54,badger,64.8,-147.5333,20.14,82,75,2.57,US,1690388580
55,bethel,41.3712,-73.414,30.08,63,0,2.06,US,1690388542
56,moyynkum,44.2914,72.9469,33.48,18,0,5.68,KZ,1690388897
57,iquique,-20.2208,-70.1431,19.02,73,14,1.95,CL,1690389110
58,puerto ayora,-0.7393,-90.3518,29.98,90,42,4.02,EC,1690388536
59,ribeira grande,38.5167,-28.7,25.22,73,40,5.66,PT,1690388459
60,horta,38.5333,-28.6333,24.8,83,40,5.66,PT,1690389116
61,avarua,-21.2078,-159.775,19.03,94,75,1.54,CK,1690388544
62,invercargill,-46.4,168.35,5.61,89,94,12.37,NZ,1690388334
63,siwa oasis,29.2041,25.5195,40.26,12,0,4.87,EG,1690388925
64,georgetown,5.4112,100.3354,28.96,89,20,1.54,MY,1690388376
65,sol'-iletsk,51.1631,54.9918,25.17,46,76,4.04,RU,1690389019
66,port elizabeth,-33.918,25.5701,16.16,77,0,2.06,ZA,1690388367
67,bilibino,68.0546,166.4372,6.48,85,71,1.38,RU,1690388558
68,inongo,-1.95,18.2667,24.98,55,52,0.63,CD,1690389118
69,ciudad lazaro cardenas,17.9583,-102.2,31.06,55,39,0.85,MX,1690388815
70,kutoarjo,-7.7169,109.9128,21.0,89,41,1.98,ID,1690389118
71,conde,-7.2597,-34.9075,28.7,61,75,5.66,BR,1690389118
72,port mathurin,-19.6833,63.4167,23.72,80,7,5.73,MU,1690388504
73,olonkinbyen,70.9221,-8.7187,4.95,93,100,5.11,SJ,1690388404
74,nova vicosa,-17.8919,-39.3719,24.93,63,26,3.96,BR,1690388361
75,mananara,-16.1667,49.7667,19.87,92,32,2.71,MG,1690389119
76,klyuchi,52.2667,79.1667,23.01,38,80,2.78,RU,1690388307
77,selfoss,63.9331,-20.9971,17.25,65,94,3.32,IS,1690389120
78,hermanus,-34.4187,19.2345,13.22,84,82,4.68,ZA,1690388372
79,fremont,37.5483,-121.9886,25.98,74,40,3.6,US,1690389063
80,happy valley-goose bay,53.3168,-60.3315,25.17,50,40,4.63,CA,1690388578
81,tsiombe,-25.3,45.4833,18.68,58,4,5.63,MG,1690388616
82,salqin,36.1381,36.4532,31.04,30,0,3.79,SY,1690389120
83,luanda,-8.8368,13.2343,24.0,73,20,5.14,AO,1690388611
84,garissa,-0.4536,39.6401,27.46,46,79,10.75,KE,1690389121
85,san martin de los andes,-40.1604,-71.3486,6.47,81,100,1.34,AR,1690389121
86,crane,31.3974,-102.3501,31.04,37,34,8.17,US,1690388746
87,pisco,-13.7,-76.2167,20.03,68,100,2.57,PE,1690388739
88,kingston,17.997,-76.7936,33.47,63,20,3.6,JM,1690389122
89,kaposvar,46.3667,17.8,20.46,50,72,6.79,HU,1690388877
